PLAYER_ID,TEAM_ID,AGE,MIN,GP,MPG,REB,PTS,PLAYER_NAME,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,POSITION,PPG,RPG,TEAM_ABBREVIATION,DIVISION,CONFERENCE
1627748,1610612749,20,561.8383333,57,9.856812865,114,226,Thon Maker,1-Jul,85,C,4,2,MIL,CNT,E
203458,1610612756,24,1559.58,77,20.25428571,510,613,Alex Len,1-Jul,85,C,8,6.6,PHX,PAC,W
1627733,1610612756,19,573.6433333,43,13.34054263,103,146,Dragan Bender,1-Jul,85,F,3.4,2.4,PHX,PAC,W
2199,1610612756,34,1297.643333,47,27.60943262,539,397,Tyson Chandler,1-Jul,85,C,8.4,11.5,PHX,PAC,W
203086,1610612757,25,1222.121667,74,16.51515766,237,401,Meyers Leonard,1-Jul,85,C,5.4,3.2,POR,NW,W
1627834,1610612758,19,355.0166667,22,16.13712121,86,124,Georgios Papagiannis,1-Jul,85,C,5.6,3.9,SAC,PAC,W
203497,1610612762,25,2743.77,81,33.8737037,1035,1137,Rudy Gobert,1-Jul,85,C,14,12.8,UTA,NW,W
1626257,1610612742,31,905.0666667,73,12.39817352,308,213,Salah Mejri,2-Jul,86,C,2.9,4.2,DAL,SW,W
201579,1610612743,30,682.2766667,48,14.21409722,152,221,Roy Hibbert,2-Jul,86,C,4.6,3.2,DEN,NW,W
201582,1610612740,29,584.25,39,14.98076923,177,207,Alexis Ajinca,2-Jul,86,C,5.3,4.5,NOP,SW,W
204002,1610612739,25,27.6,2,13.8,11,8,Edy Tavares,3-Jul,87,C,4,5.5,CLE,CNT,E
1626246,1610612765,28,293.2533333,35,8.378666666,130,191,Boban Marjanovic,3-Jul,87,C,5.5,3.7,DET,CNT,E
204001,1610612752,21,2164.43,66,32.79439394,475,1196,Kristaps Porzingis,3-Jul,87,F,18.1,7.2,NYK,ATL,E
